DISCONNECTED,2016-12-17 18:43:30
CONNECTED,2016-12-17 18:43:32
BENT,2016-12-17 18:44:21
STRAIGHT,2016-12-17 18:44:39
BENT,2016-12-17 18:45:45
STRAIGHT,2016-12-17 18:45:50
BENT,2016-12-17 18:46:58
STRAIGHT,2016-12-17 18:47:15
BENT,2016-12-17 18:47:44
STRAIGHT,2016-12-17 18:47:50
BENT,2016-12-17 18:48:46
STRAIGHT,2016-12-17 18:49:04
BENT,2016-12-17 18:49:13
STRAIGHT,2016-12-17 18:49:18
BENT,2016-12-17 18:50:08
STRAIGHT,2016-12-17 18:50:39
BENT,2016-12-17 18:52:21
STRAIGHT,2016-12-17 18:52:25
BENT,2016-12-17 18:53
STRAIGHT,2016-12-17 18:53:08
BENT,2016-12-17 18:53:32
STRAIGHT,2016-12-17 18:53:56
BENT,2016-12-17 18:54:15
STRAIGHT,2016-12-17 18:54:20
BENT,2016-12-17 18:54:28
STRAIGHT,2016-12-17 18:54:56
BENT,2016-12-17 18:56:00
STRAIGHT,2016-12-17 18:56:36
BENT,2016-12-17 18:56:58
STRAIGHT,2016-12-17 18:57:13
BENT,2016-12-17 18:57:38
STRAIGHT,2016-12-17 18:57:56
DISCONNECTED,2016-12-17 18:58:30
CONNECTED,2016-12-17 19:00:12
DISCONNECTED,2016-12-17 19:00:14
CONNECTED,2016-12-17 19:00:26
DISCONNECTED,2016-12-17 19:07:23
CONNECTED,2016-12-17 19:07:24
CONNECTED,2016-12-17 19:07:54
DISCONNECTED,2016-12-17 19:11:45
CONNECTED,2016-12-17 19:11:46
DISCONNECTED,2016-12-17 19:19:05
DISCONNECTED,2016-12-17 19:20:31
DISCONNECTED,2016-12-17 19:20:35
DISCONNECTED,2016-12-17 19:20:38
DISCONNECTED,2016-12-17 19:20:41
DISCONNECTED,2016-12-17 19:20:46
DISCONNECTED,2016-12-17 19:20:49
DISCONNECTED,2016-12-17 19:20:51
DISCONNECTED,2016-12-17 19:20:54
DISCONNECTED,2016-12-17 19:20:57
DISCONNECTED,2016-12-17 19:20:59
DISCONNECTED,2016-12-17 19:21:01
DISCONNECTED,2016-12-17 19:21:04
DISCONNECTED,2016-12-17 19:33:29
CONNECTED,2016-12-17 19:36:01
DISCONNECTED,2016-12-17 19:36:30
DISCONNECTED,2016-12-17 19:36:33
CONNECTED,2016-12-17 19:36:48
BENT,2016-12-17 19:48:50
STRAIGHT,2016-12-17 19:49:21
BENT,2016-12-17 19:49:56
STRAIGHT,2016-12-17 19:50:11
BENT,2016-12-17 19:50:28
STRAIGHT,2016-12-17 19:50:35
BENT,2016-12-17 19:51:26
STRAIGHT,2016-12-17 19:51:57
BENT,2016-12-17 19:54:22
STRAIGHT,2016-12-17 19:54:34
DISCONNECTED,2016-12-17 19:58:30
CONNECTED,2016-12-18 11:12:20
DISCONNECTED,2016-12-18 11:12:24
CONNECTED,2016-12-18 11:12:30
DISCONNECTED,2016-12-18 11:12:32
CONNECTED,2016-12-18 11:13:05
BENT,2016-12-18 11:13:30
STRAIGHT,2016-12-18 11:13:35
DISCONNECTED,2016-12-18 11:17:33
DISCONNECTED,2016-12-18 11:18:14
CONNECTED,2016-12-18 11:18:54
CONNECTED,2016-12-18 11:23:11
BENT,2016-12-18 11:23
STRAIGHT,2016-12-18 11:23
DISCONNECTED,2016-12-18 11:23:53
CONNECTED,2016-12-18 11:23:59
CONNECTED,2016-12-18 11:24:52
BENT,2016-12-18 11:24:32
STRAIGHT,2016-12-18 11:24:44
BENT,2016-12-18 11:25:05
STRAIGHT,2016-12-18 11:25:40
BENT,2016-12-18 11:25:49
STRAIGHT,2016-12-18 11:26:13
BENT,2016-12-18 11:26:34
STRAIGHT,2016-12-18 11:26:49
BENT,2016-12-18 11:28:02
DISCONNECTED,2016-12-18 11:28:28
DISCONNECTED,2016-12-18 11:28:31
CONNECTED,2016-12-18 11:29:14
BENT,2016-12-18 11:29
STRAIGHT,2016-12-18 11:29:39
BENT,2016-12-18 11:30
STRAIGHT,2016-12-18 11:30:17
DISCONNECTED,2016-12-19 00:01:03
CONNECTED,2016-12-19 00:08:39
CONNECTED,2016-12-19 00:16:38
